t_name,M_bar,S,MS
mRNA:RchiOBHmChr1g0314821,0.3915434808577202,1.0,0.3915434808577202
mRNA:RchiOBHmChr1g0314871,0.21317699275652513,-1.0,-0.21317699275652513
mRNA:RchiOBHmChr1g0326551,0.18829180598722994,-1.0,-0.18829180598722994
mRNA:RchiOBHmChr1g0329541,0.15120814737327648,-1.0,-0.15120814737327648
mRNA:RchiOBHmChr1g0333261,0.33662795068578466,1.0,0.33662795068578466
mRNA:RchiOBHmChr1g0333361,0.28417209365938434,-1.0,-0.28417209365938434
mRNA:RchiOBHmChr1g0334381,0.2824917859552845,1.0,0.2824917859552845
mRNA:RchiOBHmChr1g0334721,0.20351266088662112,1.0,0.20351266088662112
mRNA:RchiOBHmChr1g0339361,0.2822428065645605,1.0,0.2822428065645605
mRNA:RchiOBHmChr1g0340091,0.11058540363948911,-1.0,-0.11058540363948911
mRNA:RchiOBHmChr1g0348931,0.19558401131863007,-1.0,-0.19558401131863007
mRNA:RchiOBHmChr1g0359311,0.23868838006126272,-1.0,-0.23868838006126272
mRNA:RchiOBHmChr1g0361871,0.1870272411097996,1.0,0.1870272411097996
mRNA:RchiOBHmChr1g0361891,0.48300693451582977,1.0,0.48300693451582977
mRNA:RchiOBHmChr1g0362291,0.28369434243740305,1.0,0.28369434243740305
mRNA:RchiOBHmChr1g0364021,0.24915083550220368,1.0,0.24915083550220368
mRNA:RchiOBHmChr1g0366321,0.14490535765962023,-1.0,-0.14490535765962023
mRNA:RchiOBHmChr1g0370251,0.40669254767953156,-1.0,-0.40669254767953156
mRNA:RchiOBHmChr1g0371291,0.11491777421956208,-1.0,-0.11491777421956208
mRNA:RchiOBHmChr1g0372241,0.4825340818051966,-1.0,-0.4825340818051966
mRNA:RchiOBHmChr1g0373841,0.32451821322399343,1.0,0.32451821322399343
mRNA:RchiOBHmChr1g0373911,0.19825904646219697,-1.0,-0.19825904646219697
mRNA:RchiOBHmChr1g0377631,0.21103433115892126,-1.0,-0.21103433115892126
mRNA:RchiOBHmChr1g0377891,0.1432323220890869,1.0,0.1432323220890869
mRNA:RchiOBHmChr1g0378151,0.3771125500556742,1.0,0.3771125500556742
mRNA:RchiOBHmChr1g0379411,0.16874380210691484,-1.0,-0.16874380210691484
mRNA:RchiOBHmChr1g0381091,0.1365535089938935,1.0,0.1365535089938935
mRNA:RchiOBHmChr2g0087201,0.21639451759571848,-1.0,-0.21639451759571848
mRNA:RchiOBHmChr2g0087211,0.2297442340836841,-1.0,-0.2297442340836841
mRNA:RchiOBHmChr2g0091961,0.11114456219893573,-1.0,-0.11114456219893573
mRNA:RchiOBHmChr2g0093571,0.3777053266006217,-1.0,-0.3777053266006217
mRNA:RchiOBHmChr2g0093701,0.49796868044727793,-1.0,-0.49796868044727793
mRNA:RchiOBHmChr2g0094331,0.394520259177015,-1.0,-0.394520259177015
mRNA:RchiOBHmChr2g0097821,0.11797966546989662,1.0,0.11797966546989662
mRNA:RchiOBHmChr2g0097951,0.18741372338734077,-1.0,-0.18741372338734077
mRNA:RchiOBHmChr2g0104811,0.23146225994041233,-1.0,-0.23146225994041233
mRNA:RchiOBHmChr2g0108511,0.13854157368900377,-1.0,-0.13854157368900377
mRNA:RchiOBHmChr2g0110221,0.23197229904533928,-1.0,-0.23197229904533928
mRNA:RchiOBHmChr2g0120131,0.27520849566452105,-1.0,-0.27520849566452105
mRNA:RchiOBHmChr2g0123781,0.5138523393406705,-1.0,-0.5138523393406705
mRNA:RchiOBHmChr2g0124691,0.12688659502175348,-1.0,-0.12688659502175348
mRNA:RchiOBHmChr2g0126741,0.5361527387754492,-1.0,-0.5361527387754492
mRNA:RchiOBHmChr2g0128331,0.1446131332346029,-1.0,-0.1446131332346029
mRNA:RchiOBHmChr2g0131271,0.46579894756810175,-1.0,-0.46579894756810175
mRNA:RchiOBHmChr2g0132371,0.14292649888755088,-1.0,-0.14292649888755088
mRNA:RchiOBHmChr2g0133001,0.43498432615035815,-1.0,-0.43498432615035815
mRNA:RchiOBHmChr2g0136311,0.4195653860519972,1.0,0.4195653860519972
mRNA:RchiOBHmChr2g0136951,0.11059115643989818,1.0,0.11059115643989818
mRNA:RchiOBHmChr2g0140011,0.14974729310752027,-1.0,-0.14974729310752027
mRNA:RchiOBHmChr2g0148101,0.541816816393696,-1.0,-0.541816816393696
mRNA:RchiOBHmChr2g0150351,0.2873804890240549,-1.0,-0.2873804890240549
mRNA:RchiOBHmChr2g0152731,0.35087118929820693,-1.0,-0.35087118929820693
mRNA:RchiOBHmChr2g0158011,0.1184068934733477,-1.0,-0.1184068934733477
mRNA:RchiOBHmChr2g0160251,0.3928147000310084,1.0,0.3928147000310084
mRNA:RchiOBHmChr2g0160651,0.47438439553595285,-1.0,-0.47438439553595285
mRNA:RchiOBHmChr2g0167751,0.34311109949317325,-1.0,-0.34311109949317325
mRNA:RchiOBHmChr2g0170881,0.3687312629625705,-1.0,-0.3687312629625705
mRNA:RchiOBHmChr2g0174481,0.16185465832158763,-1.0,-0.16185465832158763
mRNA:RchiOBHmChr3g0449371,0.3042417179797286,-1.0,-0.3042417179797286
mRNA:RchiOBHmChr3g0449381,0.24726589421628087,-1.0,-0.24726589421628087
mRNA:RchiOBHmChr3g0449981,0.24680239359632672,1.0,0.24680239359632672
mRNA:RchiOBHmChr3g0452551,0.16318914779344162,-1.0,-0.16318914779344162
mRNA:RchiOBHmChr3g0453521,0.17896260744404893,-1.0,-0.17896260744404893
mRNA:RchiOBHmChr3g0453911,0.2637312848222987,1.0,0.2637312848222987
mRNA:RchiOBHmChr3g0457401,0.27413734103953596,-1.0,-0.27413734103953596
mRNA:RchiOBHmChr3g0457421,0.39365216715431023,-1.0,-0.39365216715431023
mRNA:RchiOBHmChr3g0459451,0.25140556292381655,-1.0,-0.25140556292381655
mRNA:RchiOBHmChr3g0459701,0.32401462405320086,-1.0,-0.32401462405320086
mRNA:RchiOBHmChr3g0460091,0.13769729660080232,-1.0,-0.13769729660080232
mRNA:RchiOBHmChr3g0465361,0.10039894844202986,-1.0,-0.10039894844202986
mRNA:RchiOBHmChr3g0467581,0.37011656210627414,-1.0,-0.37011656210627414
mRNA:RchiOBHmChr3g0470271,0.35140754511168953,-1.0,-0.35140754511168953
mRNA:RchiOBHmChr3g0472341,0.45551002442201327,-1.0,-0.45551002442201327
mRNA:RchiOBHmChr3g0474611,0.11098159166758276,-1.0,-0.11098159166758276
mRNA:RchiOBHmChr3g0476871,0.25818134614685434,-1.0,-0.25818134614685434
mRNA:RchiOBHmChr3g0478451,0.37841938071765346,-1.0,-0.37841938071765346
mRNA:RchiOBHmChr3g0481541,0.6032840949867543,-1.0,-0.6032840949867543
mRNA:RchiOBHmChr3g0482711,0.1204599642203856,-1.0,-0.1204599642203856
mRNA:RchiOBHmChr3g0486621,0.5086559242345101,1.0,0.5086559242345101
mRNA:RchiOBHmChr4g0384991,0.16690579101220432,-1.0,-0.16690579101220432
mRNA:RchiOBHmChr4g0391961,0.16918141532426392,1.0,0.16918141532426392
mRNA:RchiOBHmChr4g0392451,0.10221000538135869,-1.0,-0.10221000538135869
mRNA:RchiOBHmChr4g0392501,0.14608091597788483,-1.0,-0.14608091597788483
mRNA:RchiOBHmChr4g0395841,0.17407521323629552,1.0,0.17407521323629552
mRNA:RchiOBHmChr4g0403401,0.20821507207227985,1.0,0.20821507207227985
mRNA:RchiOBHmChr4g0405681,0.1668248714899766,1.0,0.1668248714899766
mRNA:RchiOBHmChr4g0405811,0.2178322744751329,1.0,0.2178322744751329
mRNA:RchiOBHmChr4g0406271,0.2943970898658641,1.0,0.2943970898658641
mRNA:RchiOBHmChr4g0408891,0.2658202897431606,-1.0,-0.2658202897431606
mRNA:RchiOBHmChr4g0410081,0.18033829233572268,1.0,0.18033829233572268
mRNA:RchiOBHmChr4g0410251,0.18555623248026482,1.0,0.18555623248026482
mRNA:RchiOBHmChr4g0411201,0.24428047587408222,1.0,0.24428047587408222
mRNA:RchiOBHmChr4g0412541,0.4261043438891726,1.0,0.4261043438891726
mRNA:RchiOBHmChr4g0413551,0.1229074521717205,-1.0,-0.1229074521717205
mRNA:RchiOBHmChr4g0415661,0.3541545128376059,-1.0,-0.3541545128376059
mRNA:RchiOBHmChr4g0415671,0.31999880120249447,-1.0,-0.31999880120249447
mRNA:RchiOBHmChr4g0415681,0.23215696654765713,-1.0,-0.23215696654765713
mRNA:RchiOBHmChr4g0417971,0.21437268141415383,1.0,0.21437268141415383
mRNA:RchiOBHmChr4g0421171,0.28982112075641836,1.0,0.28982112075641836
mRNA:RchiOBHmChr4g0423661,0.16134271597461958,-1.0,-0.16134271597461958
mRNA:RchiOBHmChr4g0423701,0.15679584433072016,1.0,0.15679584433072016
mRNA:RchiOBHmChr4g0423721,0.11128068170681152,1.0,0.11128068170681152
mRNA:RchiOBHmChr4g0423851,0.15441970703689495,-1.0,-0.15441970703689495
mRNA:RchiOBHmChr4g0423901,0.11729403447429304,1.0,0.11729403447429304
mRNA:RchiOBHmChr4g0423911,0.2528075776325194,-1.0,-0.2528075776325194
mRNA:RchiOBHmChr4g0423961,0.1075828992320697,1.0,0.1075828992320697
mRNA:RchiOBHmChr4g0424031,0.39127776253659624,1.0,0.39127776253659624
mRNA:RchiOBHmChr4g0424041,0.1850239890822551,1.0,0.1850239890822551
mRNA:RchiOBHmChr4g0425171,0.15854722492942083,1.0,0.15854722492942083
mRNA:RchiOBHmChr4g0428381,0.3550651181057638,-1.0,-0.3550651181057638
mRNA:RchiOBHmChr4g0433371,0.11841358044972362,1.0,0.11841358044972362
mRNA:RchiOBHmChr4g0433521,0.3690269131513165,-1.0,-0.3690269131513165
mRNA:RchiOBHmChr4g0434051,0.299610134637646,1.0,0.299610134637646
mRNA:RchiOBHmChr4g0434311,0.4744690645905792,-1.0,-0.4744690645905792
mRNA:RchiOBHmChr4g0434321,0.16613571797591592,-1.0,-0.16613571797591592
mRNA:RchiOBHmChr4g0434531,0.16928810628365465,-1.0,-0.16928810628365465
mRNA:RchiOBHmChr4g0439891,0.2041393699593566,1.0,0.2041393699593566
mRNA:RchiOBHmChr5g0000321,0.2242040919050462,-1.0,-0.2242040919050462
mRNA:RchiOBHmChr5g0001521,0.16583539866634006,1.0,0.16583539866634006
mRNA:RchiOBHmChr5g0003801,0.24891422534154417,-1.0,-0.24891422534154417
mRNA:RchiOBHmChr5g0004291,0.3554176840334572,1.0,0.3554176840334572
mRNA:RchiOBHmChr5g0005211,0.13965329866322626,1.0,0.13965329866322626
mRNA:RchiOBHmChr5g0006341,0.16001547135922334,-1.0,-0.16001547135922334
mRNA:RchiOBHmChr5g0009391,0.2094030370251907,1.0,0.2094030370251907
mRNA:RchiOBHmChr5g0010361,0.34918935111498905,1.0,0.34918935111498905
mRNA:RchiOBHmChr5g0012101,0.4908871345344516,-1.0,-0.4908871345344516
mRNA:RchiOBHmChr5g0014951,0.2662477735372023,-1.0,-0.2662477735372023
mRNA:RchiOBHmChr5g0017701,0.3596917152765139,-1.0,-0.3596917152765139
mRNA:RchiOBHmChr5g0018151,0.1257070428007525,-1.0,-0.1257070428007525
mRNA:RchiOBHmChr5g0018501,0.30126491034969965,-1.0,-0.30126491034969965
mRNA:RchiOBHmChr5g0018521,0.24280350689781738,-1.0,-0.24280350689781738
mRNA:RchiOBHmChr5g0018551,0.11707669421280817,-1.0,-0.11707669421280817
mRNA:RchiOBHmChr5g0019311,0.13537005340908762,1.0,0.13537005340908762
mRNA:RchiOBHmChr5g0020711,0.3307578110496323,-1.0,-0.3307578110496323
mRNA:RchiOBHmChr5g0025581,0.19603840023778066,-1.0,-0.19603840023778066
mRNA:RchiOBHmChr5g0026231,0.4423988642031515,-1.0,-0.4423988642031515
mRNA:RchiOBHmChr5g0027111,0.3741026929241891,-1.0,-0.3741026929241891
mRNA:RchiOBHmChr5g0027831,0.27337428630510485,-1.0,-0.27337428630510485
mRNA:RchiOBHmChr5g0029911,0.12232097743762259,-1.0,-0.12232097743762259
mRNA:RchiOBHmChr5g0030101,0.36241738531538226,-1.0,-0.36241738531538226
mRNA:RchiOBHmChr5g0033361,0.10977444163453084,1.0,0.10977444163453084
mRNA:RchiOBHmChr5g0034051,0.21507958009124753,-1.0,-0.21507958009124753
mRNA:RchiOBHmChr5g0043901,0.10602958361752664,1.0,0.10602958361752664
mRNA:RchiOBHmChr5g0054941,0.3427771695716861,-1.0,-0.3427771695716861
mRNA:RchiOBHmChr5g0055111,0.24999258375173233,-1.0,-0.24999258375173233
mRNA:RchiOBHmChr5g0055131,0.15735450534412612,-1.0,-0.15735450534412612
mRNA:RchiOBHmChr5g0060001,0.4338878912486157,-1.0,-0.4338878912486157
mRNA:RchiOBHmChr5g0061041,0.3513343123231212,-1.0,-0.3513343123231212
mRNA:RchiOBHmChr5g0061451,0.5436373538716202,-1.0,-0.5436373538716202
mRNA:RchiOBHmChr5g0063341,0.15665342152965991,1.0,0.15665342152965991
mRNA:RchiOBHmChr5g0065631,0.24632683014586257,1.0,0.24632683014586257
mRNA:RchiOBHmChr5g0065671,0.15875899129404983,-1.0,-0.15875899129404983
mRNA:RchiOBHmChr5g0065791,0.2555547941532749,-1.0,-0.2555547941532749
mRNA:RchiOBHmChr5g0065811,0.4505274355916425,-1.0,-0.4505274355916425
mRNA:RchiOBHmChr5g0066841,0.1120523241888653,1.0,0.1120523241888653
mRNA:RchiOBHmChr5g0075281,0.3436536454248527,-1.0,-0.3436536454248527
mRNA:RchiOBHmChr5g0076921,0.15842411341414367,1.0,0.15842411341414367
mRNA:RchiOBHmChr5g0080751,0.2991164044714341,1.0,0.2991164044714341
mRNA:RchiOBHmChr5g0081451,0.39102232069639886,1.0,0.39102232069639886
mRNA:RchiOBHmChr6g0246951,0.35582049349045997,-1.0,-0.35582049349045997
mRNA:RchiOBHmChr6g0246991,0.23671137049887603,-1.0,-0.23671137049887603
mRNA:RchiOBHmChr6g0248611,0.1940888281243663,1.0,0.1940888281243663
mRNA:RchiOBHmChr6g0251101,0.13830307333963476,1.0,0.13830307333963476
mRNA:RchiOBHmChr6g0253601,0.32135860563307617,-1.0,-0.32135860563307617
mRNA:RchiOBHmChr6g0254761,0.41269908815781503,1.0,0.41269908815781503
mRNA:RchiOBHmChr6g0254771,0.19732933766623686,1.0,0.19732933766623686
mRNA:RchiOBHmChr6g0256511,0.13011583366069351,-1.0,-0.13011583366069351
mRNA:RchiOBHmChr6g0257021,0.27864577437752713,1.0,0.27864577437752713
mRNA:RchiOBHmChr6g0259411,0.1380803536025713,1.0,0.1380803536025713
mRNA:RchiOBHmChr6g0259511,0.35974039606696373,1.0,0.35974039606696373
mRNA:RchiOBHmChr6g0264401,0.38410390820540824,1.0,0.38410390820540824
mRNA:RchiOBHmChr6g0273041,0.4177173807707367,-1.0,-0.4177173807707367
mRNA:RchiOBHmChr6g0276811,0.14394522965660936,1.0,0.14394522965660936
mRNA:RchiOBHmChr6g0276871,0.11287027407854787,1.0,0.11287027407854787
mRNA:RchiOBHmChr6g0280481,0.40344318986034505,1.0,0.40344318986034505
mRNA:RchiOBHmChr6g0280521,0.34862004904544913,1.0,0.34862004904544913
mRNA:RchiOBHmChr6g0281471,0.43462800826129744,-1.0,-0.43462800826129744
mRNA:RchiOBHmChr6g0283311,0.31405126968203123,-1.0,-0.31405126968203123
mRNA:RchiOBHmChr6g0283511,0.16925069802236548,-1.0,-0.16925069802236548
mRNA:RchiOBHmChr6g0283951,0.36047836692390306,-1.0,-0.36047836692390306
mRNA:RchiOBHmChr6g0283981,0.2178265479551629,-1.0,-0.2178265479551629
mRNA:RchiOBHmChr6g0285091,0.1390292618490043,-1.0,-0.1390292618490043
mRNA:RchiOBHmChr6g0285721,0.28944518087972865,-1.0,-0.28944518087972865
mRNA:RchiOBHmChr6g0285731,0.3210961082659728,-1.0,-0.3210961082659728
mRNA:RchiOBHmChr6g0285741,0.27957263151078476,-1.0,-0.27957263151078476
mRNA:RchiOBHmChr6g0285771,0.2684047005508186,-1.0,-0.2684047005508186
mRNA:RchiOBHmChr6g0288231,0.19087299420155382,-1.0,-0.19087299420155382
mRNA:RchiOBHmChr6g0289321,0.2544900237615072,1.0,0.2544900237615072
mRNA:RchiOBHmChr6g0289831,0.322878928400653,-1.0,-0.322878928400653
mRNA:RchiOBHmChr6g0290771,0.26221891342297915,-1.0,-0.26221891342297915
mRNA:RchiOBHmChr6g0291501,0.5897772194883409,-1.0,-0.5897772194883409
mRNA:RchiOBHmChr6g0294541,0.1937822118263328,-1.0,-0.1937822118263328
mRNA:RchiOBHmChr6g0296571,0.5547873381370512,-1.0,-0.5547873381370512
mRNA:RchiOBHmChr6g0297501,0.2063008434992695,1.0,0.2063008434992695
mRNA:RchiOBHmChr6g0298381,0.18499253230592116,1.0,0.18499253230592116
mRNA:RchiOBHmChr6g0299501,0.49268129601513855,-1.0,-0.49268129601513855
mRNA:RchiOBHmChr6g0299621,0.2566113076096937,-1.0,-0.2566113076096937
mRNA:RchiOBHmChr6g0300221,0.33497922877078473,-1.0,-0.33497922877078473
mRNA:RchiOBHmChr6g0304081,0.3056352193025575,1.0,0.3056352193025575
mRNA:RchiOBHmChr6g0307061,0.4741531628897777,-1.0,-0.4741531628897777
mRNA:RchiOBHmChr6g0307351,0.39323845165766835,-1.0,-0.39323845165766835
mRNA:RchiOBHmChr6g0309201,0.5077027134573354,-1.0,-0.5077027134573354
mRNA:RchiOBHmChr6g0311681,0.10679789974287865,-1.0,-0.10679789974287865
mRNA:RchiOBHmChr7g0177191,0.25973331257536797,-1.0,-0.25973331257536797
mRNA:RchiOBHmChr7g0177961,0.15194592659870965,-1.0,-0.15194592659870965
mRNA:RchiOBHmChr7g0180091,0.282575405218495,1.0,0.282575405218495
mRNA:RchiOBHmChr7g0186011,0.27910609418035254,-1.0,-0.27910609418035254
mRNA:RchiOBHmChr7g0195191,0.8126772250226854,-1.0,-0.8126772250226854
mRNA:RchiOBHmChr7g0196011,0.44970125531108157,1.0,0.44970125531108157
mRNA:RchiOBHmChr7g0196251,0.4073828800589539,-1.0,-0.4073828800589539
mRNA:RchiOBHmChr7g0196271,0.11832430218354956,-1.0,-0.11832430218354956
mRNA:RchiOBHmChr7g0196401,0.1185789390357455,1.0,0.1185789390357455
mRNA:RchiOBHmChr7g0196411,0.4085835585782653,-1.0,-0.4085835585782653
mRNA:RchiOBHmChr7g0196421,0.3202394619793569,-1.0,-0.3202394619793569
mRNA:RchiOBHmChr7g0196431,0.5302178009530172,-1.0,-0.5302178009530172
mRNA:RchiOBHmChr7g0199551,0.15958639717186512,1.0,0.15958639717186512
mRNA:RchiOBHmChr7g0201401,0.2416646056317193,1.0,0.2416646056317193
mRNA:RchiOBHmChr7g0203441,0.18284038152378276,-1.0,-0.18284038152378276
mRNA:RchiOBHmChr7g0205741,0.16629731010027773,1.0,0.16629731010027773
mRNA:RchiOBHmChr7g0209291,0.5117036779985359,-1.0,-0.5117036779985359
mRNA:RchiOBHmChr7g0209591,0.6130157765799643,-1.0,-0.6130157765799643
mRNA:RchiOBHmChr7g0211621,0.1251318325102601,1.0,0.1251318325102601
mRNA:RchiOBHmChr7g0212121,0.29080585381186197,1.0,0.29080585381186197
mRNA:RchiOBHmChr7g0212251,0.19477298679675437,1.0,0.19477298679675437
mRNA:RchiOBHmChr7g0214801,0.11597579899010456,1.0,0.11597579899010456
mRNA:RchiOBHmChr7g0217591,0.2639803691510264,-1.0,-0.2639803691510264
mRNA:RchiOBHmChr7g0219651,0.10041410061919422,-1.0,-0.10041410061919422
mRNA:RchiOBHmChr7g0219681,0.29092839915136,-1.0,-0.29092839915136
mRNA:RchiOBHmChr7g0224061,0.16095549935178097,-1.0,-0.16095549935178097
mRNA:RchiOBHmChr7g0224111,0.11139734751229143,-1.0,-0.11139734751229143
mRNA:RchiOBHmChr7g0239251,0.1456286644330524,1.0,0.1456286644330524
ncRNA:RchiOBHmChr2g0130011,0.24648701191135725,-1.0,-0.24648701191135725
ncRNA:RchiOBHmChr4g0406281,0.2784308543585613,1.0,0.2784308543585613
ncRNA:RchiOBHmChr5g0017711,0.20977882616878796,1.0,0.20977882616878796
